DATA;ANO;MÊS;LOCAL;STATUS FABRICAÇÃO;CATEGORIA;MARCA;EMBALAGEM;TAMANHO;CÓDIGO;CONCAT;PRODUTO;NÚMERO DE CAMPANHA/MÊS;LEAD DE FABRICAÇÃO;CURVA ABC;COTA PR;CONSUMO/DIA;ESTOQUE SEGURANÇA (2 dias);PONTO DE REPOSIÇÃO;ESTOQUE MÁXIMO;LOTE DE PRODUÇÃO;ESTOQUE ATUAL;SUGESTÃO DE PRODUÇÃO;PRODUÇÃO DIA;PLANO PRODUÇÃO;KAMBAN ATUAL;COBERTURA ATUAL;COBERTURA PLANEJADA;KAMBAN FUTURO
08/09/26;2026;SET;RK01;FABRICA;ENERGETICO;FURIOSO;PET;2LT;2600020017;RK012600020017;Furioso 2L;2;15;A;25.746;1.170;2.341;19.895;35.109;27.449;7.660;27.449;0;350.000;VERDE;7;306;VERDE
08/09/26;2026;SET;RK01;FABRICA;ENERGETICO;FURIOSO;PET;2LT;2600020013;RK012600020013;Furioso Melão 2L;2;15;;2.988;136;272;2.309;4.074;2.652;1.422;2.652;0;;VERDE;10;10;AMARELO
08/09/26;2026;SET;RK01;FABRICA;ENERGETICO;FURIOSO;PET;2LT;2600020020;RK012600020020;Furioso Tropical 2L;2;15;;2.523;115;229;1.950;3.440;2.390;1.051;2.390;8.000;1.674;VERDE;79;24;VERMELHO
08/09/26;2026;SET;RK01;FABRICA;ENERGETICO;FURIOSO;PET;2LT;2600020011;RK012600020011;Furioso Melancia 2L;2;15;A;6.654;302;605;5.141;9.073;7.094;1.979;7.094;0;;AMARELO;7;7;VERDE
08/09/26;2026;SET;RK01;FABRICA;ENERGETICO;FURIOSO;PET;2LT;2600020069;RK012600020069;Furioso Uva Verde e Pessego 2L;2;15;;3.772;171;343;2.915;5.144;3.348;1.795;3.348;0;500.000;VERDE;10;2.927;AMARELO
08/09/26;2026;SET;RK01;SOB PEDIDO;ENERGETICO;BOMBADÃO;PET;2LT;2600020023;RK012600020023;Bombadão 2L;1;30;;797;36;72;1.160;1.631;1.299;332;1.299;0;;AMARELO;9;9;VERMELHO
08/09/26;2026;SET;RK01;FABRICA;REFRIGERNTE;REFRIKO;PET;2LT;2000010021;RK012000010021;Limão 2L;2;15;;9.197;418;836;7.107;12.541;9.805;2.736;9.805;0;;AMARELO;7;7;VERMELHO
08/09/26;2026;SET;RK01;FABRICA;REFRIGERNTE;REFRIKO;PET;2LT;2000010012;RK012000010012;Guaraná 2L;2;15;A;32.231;1.465;2.930;24.906;43.951;28.609;15.342;28.609;0;;AMARELO;10;10;VERDE
08/09/26;2026;SET;RK01;REVENDE;REFRIGERNTE;REFRIKO;PET;2LT;2000010080;RK012000010080;Guaraná Zero 2L;1;30;;5.195;236;472;7.556;10.626;8.463;2.164;8.463;0;;AMARELO;9;9;VERDE
08/09/26;2026;SET;RK01;REVENDE;REFRIGERNTE;REFRIKO;PET;2LT;2000010096;RK012000010096;Tubaína Zero 2L;1;30;;2.180;99;198;3.171;4.460;3.811;649;3.811;0;;VERMELHO;7;7;VERMELHO
