fVendas[ANO];fVendas[Mês];[SumFaturamento];Column4;Column5;Column6;Column7;Column8;DATA
2026;1;R$ 49.688.373,12;;;;;;01/01/2026
2026;2;R$ 46.848.784,56;;;;;;01/02/2026
2026;3;R$ 46.392.638,57;;;;;;01/03/2026
2026;4;R$ 45.664.277,02;;;;;;01/04/2026
2026;5;R$ 61.506.851,67;;;;;;01/05/2026
2026;6;R$ 62.272.663,26;;;;;;01/06/2026
2026;7;R$ 59.689.289,46;;;;;;01/07/2026
2026;8;R$ 45.053.180,45;;;;;;01/08/2026
2026;9;R$ 55.773.388,45;;;;;;01/09/2026
2026;10;R$ 54.899.062,34;;;;;;01/10/2026
2026;11;R$ 62.178.787,08;;;;;;01/11/2026
2026;12;R$ 56.141.207,32;;;;;;01/12/2026
