ESTADO;CÓDIGO;CONCATENADO2;DESC. COMPONENTE;CLASSE;GRUPO;QUANTIDADE;FORNECEDOR;CUSTO TOTAL (ATUAL);MÊS;ANO;MÊS/ANO;Unnamed: 12;Unnamed: 13
BA;7558562528;BA7558562528;EDULCORANTE - ITEM 001;EDULCORANTE;XAROPARIA;168;PrimaSul S.A.;4785;AGO;2022;08/2022;;
BA;7558562528;BA7558562528;EDULCORANTE - ITEM 001;EDULCORANTE;XAROPARIA;206;RotaVita Materiais;5.866,59;SET;2022;09/2022;;
TO;7558562528;TO7558562528;EDULCORANTE - ITEM 001;EDULCORANTE;XAROPARIA;127;RotaVita Materiais;3.618,73;SET;2022;09/2022;;
TO;5561863405;TO5561863405;ACID.E CONSERV. - ITEM 001;ACID.E CONSERV.;REF/ENER/ROM/DEL;68314;RotaVita Materiais;611414;SET;2022;09/2022;;
TO;7135750694;TO7135750694;CERVEJARIA - ITEM 001;CERVEJARIA;OUTROS;0;RotaVita Materiais;0;AGO;2022;08/2022;;
TO;7135750694;TO7135750694;CERVEJARIA - ITEM 001;CERVEJARIA;OUTROS;1320;RotaVita Materiais;13745;OUT;2022;10/2022;;
CE;36698143;CE36698143;NÃO PRODUTIVO - ITEM 001;NÃO PRODUTIVO;CIP;0;RotaVita Materiais;0;SET;2022;09/2022;;
TO;4179143074;TO4179143074;ACID.E CONSERV. - ITEM 002;ACID.E CONSERV.;BRUSK/TON/BEL;226;InsuVita S.A.;8026;AGO;2022;08/2022;;
BA;8776388691;BA8776388691;ACID.E CONSERV. - ITEM 003;ACID.E CONSERV.;BRUSK/TON/BEL;215;InsuVita S.A.;7648;AGO;2022;08/2022;;
TO;9044186134;TO9044186134;AÇUCAR - ITEM 001;AÇUCAR;XAROPARIA;0;RotaVita Materiais;0;AGO;2022;08/2022;;
BA;9044186134;BA9044186134;AÇUCAR - ITEM 001;AÇUCAR;XAROPARIA;0;RotaVita Materiais;0;AGO;2022;08/2022;;
TO;9044186134;TO9044186134;AÇUCAR - ITEM 001;AÇUCAR;XAROPARIA;569034;RotaVita Materiais;1047023;SET;2022;09/2022;;
BA;9044186134;BA9044186134;AÇUCAR - ITEM 001;AÇUCAR;XAROPARIA;686447;RotaVita Materiais;1263062;SET;2022;09/2022;;
CE;16956314;CE16956314;AÇUCAR - ITEM 001;AÇUCAR;XAROPARIA;472816;RotaVita Materiais;1077038;OUT;2022;10/2022;;
TO;4954;TO4954;NÃO PRODUTIVO - ITEM 002;NÃO PRODUTIVO;DATADORA;4;RotaVita Materiais;0;SET;2022;09/2022;;
TO;4954;TO4954;NÃO PRODUTIVO - ITEM 002;NÃO PRODUTIVO;DATADORA;3;RotaVita Materiais;0;OUT;2022;10/2022;;
TO;7180;TO7180;NÃO PRODUTIVO - ITEM 003;NÃO PRODUTIVO;DATADORA;1;RotaVita Materiais;0;OUT;2022;10/2022;;
TO;7180;TO7180;NÃO PRODUTIVO - ITEM 003;NÃO PRODUTIVO;DATADORA;2;RotaVita Materiais;0;SET;2022;09/2022;;
BA;8567817246;BA8567817246;CACHAÇA - ITEM 001;CACHAÇA;TANQUE;0;RotaVita Materiais;0;JUN;2022;06/2022;;
BA;8567817246;BA8567817246;CACHAÇA - ITEM 001;CACHAÇA;TANQUE;0;RotaVita Materiais;0;JUN;2022;06/2022;;
BA;8567817246;BA8567817246;CACHAÇA - ITEM 001;CACHAÇA;TANQUE;0;RotaVita Materiais;0;JUN;2022;06/2022;;
BA;8567817246;BA8567817246;CACHAÇA - ITEM 001;CACHAÇA;TANQUE;8756;RotaVita Materiais;19788;SET;2022;09/2022;;
BA;8567817246;BA8567817246;CACHAÇA - ITEM 001;CACHAÇA;TANQUE;8908;RotaVita Materiais;20133;SET;2022;09/2022;;
TO;7412202848;TO7412202848;CERVEJARIA - ITEM 002;CERVEJARIA;OUTROS;251;RotaVita Materiais;71.147,66;OUT;2022;10/2022;;
BA;6258025797;BA6258025797;CONCENT./KITs - ITEM 001;CONCENT./KITs;C.ENERGETICO;101;RotaVita Materiais;18116;SET;2022;09/2022;;
BA;6258025797;BA6258025797;CONCENT./KITs - ITEM 001;CONCENT./KITs;C.ENERGETICO;0;RotaVita Materiais;0;AGO;2022;08/2022;;
BA;9176887849;BA9176887849;AROMA - ITEM 001;AROMA;REFRIGERANTE;0;RotaVita Materiais;0;JUL;2022;07/2022;;
BA;9176887849;BA9176887849;AROMA - ITEM 001;AROMA;REFRIGERANTE;45;RotaVita Materiais;2778;SET;2022;09/2022;;
BA;9176887849;BA9176887849;AROMA - ITEM 001;AROMA;REFRIGERANTE;28;RotaVita Materiais;1753;NOV;2022;11/2022;;
BA;7179785575;BA7179785575;AROMA - ITEM 002;AROMA;ENERGÉTICO;0;RotaVita Materiais;0;AGO;2022;08/2022;;
BA;7605548367;BA7605548367;AROMA - ITEM 003;AROMA;ENERGÉTICO;0;RotaVita Materiais;0;JUL;2022;07/2022;;
TO;1887853162;TO1887853162;AROMA - ITEM 004;AROMA;REFRIGERANTE;30;InsuTera Materiais;2.248,51;OUT;2022;10/2022;;
CE;16956314;CE16956314;AÇUCAR - ITEM 001;AÇUCAR;XAROPARIA;823743;RotaVita Materiais;1876420;OUT;2022;10/2022;;
TO;5487177483;TO5487177483;AROMA - ITEM 005;AROMA;BARROSO COOK;457;RotaVita Materiais;8780;NOV;2022;11/2022;;
TO;7403201917;TO7403201917;AROMA - ITEM 006;AROMA;ENERGÉTICO;271;RotaVita Materiais;40565;SET;2022;09/2022;;
BA;1887853162;BA1887853162;AROMA - ITEM 004;AROMA;REFRIGERANTE;0;InsuTera Materiais;0;AGO;2022;08/2022;;
BA;3290357505;BA3290357505;AROMA - ITEM 007;AROMA;REFRIGERANTE;2238;RotaVita Materiais;73.399,76;DEZ;2022;12/2022;;
BA;9077785457;BA9077785457;AROMA - ITEM 006;AROMA;ENERGÉTICO;135;RotaVita Materiais;20224;SET;2022;09/2022;;
TO;2016992938;TO2016992938;AROMA - ITEM 008;AROMA;BRUSK DEMAIS;0;RotaVita Materiais;0;JUL;2022;07/2022;;
TO;4271745143;TO4271745143;AROMA - ITEM 002;AROMA;ENERGÉTICO;715;InsuTera Materiais;26559;AGO;2022;08/2022;;
TO;6115937873;TO6115937873;AROMA - ITEM 003;AROMA;ENERGÉTICO;637;InsuTera Materiais;48312;AGO;2022;08/2022;;
BA;7674714732;BA7674714732;AROMA - ITEM 008;AROMA;BRUSK DEMAIS;25;RotaVita Materiais;1.369,81;SET;2022;09/2022;;
TO;4124528771;TO4124528771;AROMA - ITEM 009;AROMA;REFRIGERANTE;0;RotaVita Materiais;0;AGO;2022;08/2022;;
